fishID,exPlate,exConc,broodID,pop,year,age,dilPlate,dilWell,dilConc,action,subPlate,subWell,volDil,volWater,volExt,volWater
240210,TH-Ext-2023-011,87.13,9105_2021_240210_M,PUNTLEDGE_RIVER_fall,2021,2,P2,B6,25.83,as-is,P2,B4,10,0,,
93935,TH-Ext-2023-009,86.99,9105_2020_93935_M,PUNTLEDGE_RIVER_fall,2020,4,P2,C6,22.84,as-is,P2,C4,10,0,,
240214,TH-Ext-2023-011,86.7,9105_2021_240214_M,PUNTLEDGE_RIVER_fall,2021,4,P2,E6,24.65,as-is,P2,D4,10,0,,
240171,TH-Ext-2023-011,86.48,9105_2021_240171_M,PUNTLEDGE_RIVER_fall,2021,4,P2,F6,24.98,as-is,P2,E4,10,0,,
18295,TH-Ext-2023-006,86.37,9107_2018_18295_M,CHILLIWACK_RIVER_fall,2018,2,P2,G6,24.55,as-is,P2,F4,10,0,,
240440,TH-Ext-2023-011,85.89,9105_2021_240440_M,PUNTLEDGE_RIVER_fall,2021,4,P2,A7,24.26,as-is,P2,G4,10,0,,
5779,TH-Ext-2023-007,85.85,100_2018_5779_M,QUALICUM_RIVER,2018,3,P2,B7,25.4,as-is,P2,H4,10,0,,
18296,TH-Ext-2023-004,85.63,9107_2017_18296_M,CHILLIWACK_RIVER_fall,2017,4,P2,D7,20.29,as-is,P2,A5,10,0,,
240195,TH-Ext-2023-011,83.74,9105_2021_240195_M,PUNTLEDGE_RIVER_fall,2021,4,P2,E7,27.8,as-is,P2,B5,10,0,,
223315,TH-Ext-2023-010,83.71,9107_2021_223315_M,CHILLIWACK_RIVER_fall,2021,4,P2,F7,21.88,as-is,P2,C5,10,0,,
5791,TH-Ext-2023-005,83.68,100_2017_5791_M,QUALICUM_RIVER,2017,4,P2,G7,21.72,as-is,P2,D5,10,0,,
51662,TH-Ext-2023-004,83.2,9107_2017_51662_M,CHILLIWACK_RIVER_fall,2017,4,P2,A8,20.82,as-is,P2,E5,10,0,,
51864,TH-Ext-2023-005,82.88,9107_2017_51864_M,CHILLIWACK_RIVER_fall,2017,2,P2,B8,22.17,as-is,P2,F5,10,0,,
15829,TH-Ext-2023-008,82.56,100_2019_15829_M,QUALICUM_RIVER,2019,3,P2,C8,21.47,as-is,P2,G5,10,0,,
1001,TH-Ext-2023-006,82.33,9105_2018_1001_M,PUNTLEDGE_RIVER_fall,2018,4,P2,D8,24.2,as-is,P2,H5,10,0,,
50210,TH-Ext-2023-006,82.26,100_2018_50210_M,QUALICUM_RIVER,2018,3,P2,E8,22.6,as-is,P2,A6,10,0,,
18277,TH-Ext-2023-004,82.23,9107_2017_18277_M,CHILLIWACK_RIVER_fall,2017,3,P2,F8,20.26,as-is,P2,B6,10,0,,
71399,TH-Ext-2023-010,82.1,100_2020_71399_M,QUALICUM_RIVER,2020,3,P2,G8,25.32,as-is,P2,C6,10,0,,
240208,TH-Ext-2023-011,81.68,9105_2021_240208_M,PUNTLEDGE_RIVER_fall,2021,2,P2,A9,22.9,as-is,P2,D6,10,0,,
